,Event times,Fitted stations,Moveout intercept,Moveout slope (s/km),Event?,
111,2011-06-26T10:35:09.654700Z,6,6.022435058,-0.782216134,,
112,2011-06-26T10:56:36.184700Z,4,-3.220098652,0.450157905,,
113,2011-06-26T11:13:34.369200Z,8,-3.690868296,0.296115709,,
114,2011-06-26T11:23:56.629200Z,4,-10.78140582,1.503416129,,
115,2011-06-26T11:56:49.074700Z,5,2.518145585,-0.602758306,,
116,2011-06-26T12:00:13.179200Z,5,0.088223171,-0.142455446,,
117,2011-06-26T12:38:21.664700Z,3,-73.80076403,0.174918787,,
118,2011-06-26T14:11:38.250000Z,7,-0.460190728,0.225197718,,
119,2011-06-26T15:54:30.894700Z,4,-38.2416803,0.453934101,,
120,2011-06-26T16:45:28.529900Z,6,-3.733930864,0.228476919,,
121,2011-06-26T17:47:16.829900Z,5,3.793893209,-0.875831046,,
122,2011-06-26T17:56:45.009900Z,4,-52.27921358,0.032062035,,
123,2011-06-26T18:01:12.099900Z,4,-0.302052746,-0.026465059,,
124,2011-06-26T18:45:41.789900Z,4,-0.208292224,0.400373444,,
125,2011-06-26T19:02:25.499900Z,3,7.194764054,-0.671136981,,
126,2011-06-26T19:26:29.129900Z,5,-0.080094159,0.005571591,,
127,2011-06-26T19:46:18.129900Z,4,-77.62678184,-0.156597938,,
128,2011-06-26T19:56:59.709900Z,6,-2.893385263,0.145465172,,
129,2011-06-26T20:14:27.029900Z,8,-1.037329306,0.481474865,,
130,2011-06-26T20:39:20.629900Z,6,-1.668723196,0.15356589,,
131,2011-06-26T20:46:34.829900Z,3,-19.02669247,0.065681333,,
132,2011-06-26T21:03:15.509900Z,3,2.071413644,-0.167940131,,
133,2011-06-26T21:15:32.540000Z,3,-80.15077127,0.03436405,,
134,2011-06-26T22:09:50.549900Z,4,0.096856468,-0.629016395,,
135,2011-06-26T22:17:23.789900Z,3,-29.02640712,-0.607362248,,
136,2011-06-26T22:23:35.679900Z,3,-77.22467277,0.738821412,,
137,2011-06-26T22:29:51.579900Z,5,4.665575935,-0.399553403,Y,
138,2011-06-26T22:33:28.039900Z,5,-1.907669184,0.207091002,,
139,2011-06-26T23:17:51.608400Z,3,-82.11643783,9.914730131,,
